Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
FGV-EBAPE Fundação Getúlio Vargas, Escola Brasileira de Administração Pública e de Empresas de Rio de Janeiro;Brazil;South America;Partner University;Bachelor/Master;"Bachelor: August - December, January - July; Master: August - October, October - December, January - March, April - July";Bachelor: 2, Master: 2;"Portuguese B1 at application, B2 at host university deadline; Master level: some English-taught classes";https://ebape.fgv.br;-22.93992945;-43.18092077;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of São Paulo, Faculdade de Filosofia, Letras de Ciencias Humanas;Brazil;South America;Partner University;Bachelor/Master;August - December, February - June;"Bachelor: no; Master: no";"Portuguese B1/B2; Most graduate courses taught in Portuguese";https://www.fflch.usp.br;-23.56145943;-46.72883846;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
FGV-DIREITO Fundação Getúlio Vargas, Escola de Direito de Rio de Janeiro;Brazil;South America;Partner University;Bachelor/Master;August - December, February - July;"Bachelor: 2; Master: 2";Portuguese B1 at application, B2 at host university deadline;https://direitorio.fgv.br;-23.55795328;-46.65196294;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
FGV-EPGE Fundação Getúlio Vargas, Escola Brasileira de Economia e Finanças de Rio de Janeiro;Brazil;South America;Partner University;Bachelor/Master;February - July, July - December;"Bachelor: 2; Master: 2";Portuguese B1 at application, B2 at host university deadline;https://epge.fgv.br;-22.84519452;-42.81768223;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Insper, Instituto de Ensino e Pesquisa;Brazil;South America;Partner University;Bachelor/Master;"Bachelor: August- December, February - June; Master: July - December, February - June";"Bachelor: 4; Master: no (0)";"Master: MLE only; Digital Policy courses/programme; Scholarship through Lemann Foundation";https://www.insper.edu.br;-23.59850296;-46.67619038;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
FGV-EAESP Fundação Getúlio Vargas, Escola de Administração de Empresas de São Paulo;Brazil;South America;Partner University/CEMS;Master;"Bachelor: August - December, February - June; Master: August - October, October - December, January - April, February - July, April - July";Master: 2;"Portuguese B1/B2 for courses in Portuguese; MBA: minimum five years work experience";https://eaesp.fgv.br;-23.55910213;-46.65333912;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
FGV-DIREITO Fundação Getúlio Vargas, Escola de Direito de São Paulo;Brazil;South America;Partner University;Bachelor/Master;August - December, February - June;"Bachelor: 2; Master: 2";"Portuguese B1 at application, B2 at host university deadline; Most courses in Portuguese";https://direitosp.fgv.br;-23.55804179;-46.65231699;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidade de São Paulo, Faculdade de Economia, Administracão e Contabilidade;Brazil;South America;Partner University;Bachelor/Master;August - December, February - June;"Bachelor: 2; Master: 2";"B1/B2 level of Portuguese at start; most courses in Portuguese, only some in English";https://www.fea.usp.br;-23.55888921;-46.72971369;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
FGV-EESP Fundação Getúlio Vargas, Escola de Economica de São Paulo;Brazil;South America;Partner University;Bachelor/Master;August - December, February - June;"Bachelor: 1; Master: 1";"Portuguese B1 at application, B2 at host university deadline; Most courses in Portuguese";https://eesp.fgv.br;-23.55798279;-46.65227408;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
McGill University;Canada;North America;Partner University;Bachelor/Master;September - December, January - April;"Bachelor: 2; Master: 1";"Master students participate in MBA; Two years work experience; Open to Master in Business, Economics, International Affairs";https://www.mcgill.ca;45.50506291;-73.57599239;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
