Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Copenhagen Business School;Denmark;Europe;Partner University/CEMS;Bachelor/Master;September - January, February - June;"Bachelor: 4; Master: 6; CEMS: yes";;https://www.cbs.dk/en;55.68170694;12.53020128;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
American University in Cairo ;Egypt ;Africa;Partner University/CEMS;Master;September - December, February - May;Cems: 1 per term;;https://www.aucegypt.edu;30.0539046;31.26606486;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Aalto University, School of Business, Mikkeli;Finland;Europe;Partner University;Bachelor;August - December, January - May;Bachelor: 4;;https://www.aalto.fi/en/locations/mikkeli;61.68953416;27.2636606;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hanken School of Economics;Finland;Europe;Partner University;Bachelor/Master;Autumn: August - December, Spring: January - May;Total of 7 places;Bachelor: yes, Master: yes;https://www.hanken.fi/en;60.17126091;24.92450122;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Aalto University, School of Business, Helsinki;Finland;Europe;Partner University/CEMS;Bachelor/Master;September - December, January - May;"Bachelor: 3; Master: 5; CEMS: 1 per term";Bachelor: yes, Master: yes, CEMS: yes;https://www.aalto.fi/en/locations/school-of-business;60.1874319;24.82774626;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ESSEC Business School;France;Europe;Partner University;Bachelor/Master;"Bachelor: August - December, February - May; Master: September - December, January - April, April - June";"Bachelor: 4; Master: 6";"French nationals not accepted; Only ESSEC MSc programme credited";https://www.essec.edu/en/;49.03641571;2.089260329;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université Paris-Est Créteil Val de Marne;France;Europe;Partner University;Master;September - December;N/A;"Autumn semester only;  For MIL, MLE, MLaw";https://www.u-pec.fr;48.78827207;2.444305356;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
EDHEC Business School;France;Europe;Partner University;Bachelor/Master;Sept - December, January - May;"Bachelor: 4; Master: 6";"Lille & Nice campuses; preference after allocation";https://www.edhec.edu/en;48.86983597;2.336754521;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université Paris-Dauphine;France;Europe;Partner University;Bachelor/Master;September - December, January - May;"Bachelor: 2; Master: 2";French B2 level recommended;https://dauphine.psl.eu/en/;48.87023361;2.273995206;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Kedge Business School;France;Europe;Partner University;Bachelor/Master;September - December, January - June;"Bachelor: 2; Master: 4";"Campuses in Bordeaux and Marseille; preference after allocation";https://student.kedge.edu;48.83204652;2.389107035;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ESCP Business School;France;Europe;Partner University;Master;September - December, January - May;Master: 14;"French nationals not accepted; ESCP MIM programme";https://escp.eu;48.86574726;2.385129802;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
EM Lyon Business School;France;Europe;Partner University;Bachelor/Master;September - December, January - Mai;"Bachelor: 6; Master: 8";"New campus in Lyon; BBA and MSc programmes";https://em-lyon.com/?utm_source=gmblyon&utm_medium=organic&utm_campaign=lien_principal&utm_content=cta;48.84766159;2.358350583;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
HEC Ecole des Hautes Etudes Commerciales Paris;France;Europe;Partner University/CEMS;Master;September - December, February - May;CEMS: 3, Master: 0;CEMS availability varies by term;https://www.hec.edu/en;48.76035937;2.181500043;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Sciences Po Institut d'Etudes Politiques de Paris;France;Europe;Partner University;Bachelor/Master;August - January, January - May;Bachelor: 4, Master: 6;"Paris and Reims campuses; language requirements vary";https://www.sciencespo.fr/fr/;48.85394524;2.329317779;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Neoma Business School;France;Europe;Partner University;Bachelor/Master;September - December, January - June;Total: 4;"Campuses in Reims and Rouen; preference after allocation";https://neoma-bs.fr;48.82935405;2.362144308;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Freie Universität Berlin, School of Business & Economics;Germany;Europe;Partner University;Bachelor/Master;October - March, April - July;Total: 6;Master exchange in fall term only;https://www.wiwiss.fu-berlin.de;52.44720188;13.28128948;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Humboldt Universität zu Berlin, School of Business & Economics;Germany;Europe;Partner University;Bachelor/Master;October - February, April - July;Total: 4;German B2 level required;https://www.hu-berlin.de/de/;52.51966518;13.39730947;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Freie Universität Berlin, Law Department;Germany;Europe;Partner University;Master;October - March;N/A;"Autumn Semester only; Master THEMIS programme only (MIL, MLE and MLaw)";https://www.fu-berlin.de/en/einrichtungen/fachbereiche/fb/jura/index.html;52.44876296;13.27649532;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Bucerius Law School;Germany;Europe;Partner University;Bachelor;September - December;Bachelor: 2 ;"Atumn semester only; At least two years of previous law studies required; Final admission by Bucerius";https://www.law-school.de;53.55932974;9.983868508;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität zu Köln, Wirtschafts- und Sozialwissenschaftliche Fakultät;Germany;Europe;Partner University/CEMS;Bachelor/Master;October - February, April - July;Bachelor: 3, Master: 3, CEMS: 1 per term;;https://wiso.uni-koeln.de/de/;50.93967726;6.963300854;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Mannheim, Business School;Germany;Europe;Partner University;Bachelor/Master;September - December, February - June;Total: 6;;https://www.mannheim-business-school.com/de/;49.53428996;8.789666318;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Goethe Universität, Faculty of Economics and Business, Frankfurt am Main;Germany;Europe;Partner University;Bachelor/Master;October - February, April - July;Total: 4;;https://www.wiwi.uni-frankfurt.de/en/home.html;50.12753222;8.66766722;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Andrassy University;Hungary;Europe;Partner University;Master;August - January, February - July;Master: 2;German C1 level required;https://www.andrassyuni.eu;47.49215151;19.06422628;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Corvinus University of Budapest;Hungary;Europe;Partner University/CEMS;Bachelor/Master;September - January, February - June;Bachelor: 2, Master: 2, CEMS: 1 per term;;https://www.uni-corvinus.hu/?lang=en;47.48637088;19.05875975;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Indian Institute of Management, Calcutta;India;Asia;Partner University/CEMS;Master;September - December;CEMS: 2;Autumn semester only ;https://www.iimcal.ac.in;22.44490794;88.29924244;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Indian Institute of Management, Ahmedabad;India;Asia;Partner University;Master;September - December, December - March, June - August;Master: 5;Residency requirement for Indian nationals;https://www.iima.ac.in;23.03319412;72.53321018;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Indian Institute of Management, Bangalore;India;Asia;Partner University;Master;September - December, December - March, June - September;Master: 6;"Indian nationals may not apply; Accommodation restrictions";https://www.iimb.ac.in;12.89580344;77.60322291;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Indian School of Business, Hyderabad;India;Asia;Partner University;Master;October - January, November - February, January - April;Master: 3;"Indian nationals may not apply; Split campus stay";https://www.isb.edu/en.html;17.43955556;78.36505102;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universitas Gadjah Mada;Indonesia;Asia;Partner University;Bachelor/Master;September - January, February - July;Master: 1;;https://ugm.ac.id/en/;-7.771168279;110.3788587;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
UCD Lochlann Quinn School of Business;Ireland;Europe;Partner University;Bachelor;September - December, January - May;Bachelor: 2;;https://www.ucd.ie/quinn/;53.30472641;-6.21956255;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University College Dublin;Ireland;Europe;Partner University/CEMS;Master;August - January, January - May;CEMS: 1 per term;;https://www.ucd.ie;53.30987421;-6.221257109;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Tel Aviv University, Coller School of Management;Israel;Asia;Partner University;Master;October - January;Master: 2;"Autumn semester only; MBA courses only";https://coller.tau.ac.il;32.11305918;34.80381738;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Haifa, Haifa;Israel;Asia;Partner University;Bachelor/Master;October - January, January - June;Total: 4;Law and International Affairs focus;https://www.haifa.ac.il/?lang=en;32.76152882;35.02032306;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Università Bologna;Italy;Europe;Partner University;Bachelor/Master;September - December, February - May;Bachelor: 2, Master: 2;Italian A2 level recommended;https://www.unibo.it/it;44.49703531;11.35298754;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
LUISS Libera Università Internazionale degli Studi Sociali Guido Carli;Italy;Europe;Partner University;Bachelor/Master;September - February;Bachelor: 3, Master: 6;Autumn semester only;https://www.luiss.it;41.92461719;12.4942392;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Università Commerciale Luigi Bocconi, School of Law;Italy;Europe;Partner University;Master;September - December;N/A;"Law focus; autumn semester only";https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/home/about+us/organization/schools/school+of+law/;45.44872024;9.190427586;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Università Commerciale Luigi Bocconi di Milano;Italy;Europe;Partner University/CEMS;Bachelor/Master;September - December, February - May;Bachelor: 4, Master: 8, CEMS: 3;No Italian nationals for CEMS;https://www.unibocconi.it/wps/wcm/connect/Bocconi/SitoPubblico_IT/Albero+di+navigazione/Home/;45.44872024;9.190427586;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Università degli Studi di Torino, Dipartimento di Giurisprudenza;Italy;Europe;Partner University;Bachelor/Master;September - December, February - May;Total: 4;Law focus;https://www.giurisprudenza.unito.it/do/home.pl;45.1049142;7.768368663;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Waseda University, Graduate School of Business and Finance;Japan;Asia;Partner University;Master;September - February, April - July;Master: 2;Business and Economics focus;https://www.waseda.jp/fcom/wbs/en;35.70731237;139.7172358;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Keio University, Graduate School of Economics;Japan;Asia;Partner University;Bachelor/Master;September - December, March - July;Bachelor: 2, Master: 2;"Economics focus; 4 course minimum";https://www.econ.keio.ac.jp/en/;35.65066607;139.7472917;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Nagoya University of Commerce & Business;Japan;Asia;Partner University;Bachelor/Master;August - January/February, April - July;Master: 2;;https://www.nucba.ac.jp/en/;35.17530041;136.9092069;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hitotsubashi University, School of International and Public Policy;Japan;Asia;Partner University;Master;September - February, April - July;Master: 2;MIA only;https://www.ipp.hit-u.ac.jp/english/;35.69457774;139.4459298;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Sophia University;Japan;Asia;Partner University;Bachelor/Master;September - February, April - July;Bachelor: 3, Master: 3;;https://www.sophia.ac.jp/eng/;35.70090793;139.7990332;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
International University of Japan, Graduate School of International Management;Japan;Asia;Partner University;Master;September - December, January - March, April - July;Master: 1;;https://www.iuj.ac.jp/gsim/;37.22465433;139.3694958;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hosei University;Japan;Asia;Partner University;Bachelor;September - March, April - July;Bachelor: 6;;https://www.hosei.ac.jp/english/?auth=9abbb458a78210eb174f4bdd385bcf54;35.71734787;139.7905375;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hitotsubashi University;Japan;Asia;Partner University;Bachelor/Master;April - July, September - February;Bachelor: 4, Master: no;Min. grade average requirement: 4.60;https://www.hit-u.ac.jp/eng/;35.69457774;139.4459298;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Keio University;Japan;Asia;Partner University/CEMS;Bachelor/Master;September - February, March - July;Bachelor: 3, Master: 3, CEMS: 1 autumn semester;"Min. grade average requirement: 4.75; Participation in the JLP not granted";https://www.keio.ac.jp/en/;35.65066607;139.7472917;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Strathmore University, Strathmore Business School;Kenya;Africa;Partner University;Bachelor/Master;July - October, November - March;Bachelor: no, Master: no;;https://sbs.strathmore.edu;-1.310107038;36.81289427;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Kuwait University, College of Business Administration;Kuwait;Asia;Partner University;Bachelor;August - December, January - May, May - July;N/A;;https://cbaweb.ku.edu.kw;30.67505594;50.7390255;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
American University of Beirut;Lebanon;Asia;Partner University;Bachelor/Master;January - May, June - August, August - December;Total: 6;HSG students studying BLaw/BLE or Law/MLE/MIL may not apply;https://www.aub.edu.lb;33.90107631;35.48121606;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universiti Sains Malaysia;Malaysia;Asia;Partner University;Bachelor/Master;September - January, February - June;Bachelor: no, Master: 1;;https://www.usm.my;5.355839945;100.302685;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM);Mexico;North America;Partner University;Bachelor/Master;"Bachelor: July - December, January - May; Master: September - December, January - April, April - July (MBA)";Bachelor: 4, Master: 4;Spanish B1/B2 level required if taking courses in Spanish;https://tec.mx/es;25.75511978;-100.0038889;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ITAM Instituto Tecnológico Autónomo de México;Mexico;North America;Partner University;Bachelor/Master;"Bachelor: August - December, January - May; Master: July - September, September - December, January - April, April - July ";Bachelor: 2, Master: 2;"All Master programs taught in Spanish; Spanish B1 at HSG application, B2 at host application";https://www.itam.mx;19.34449863;-99.19936422;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad Panamericana, IPADE Business School;Mexico;North America;Partner University/Freemover;Master;January - March, April - June, October - December;Master: 4;Spanish B1 / B2 level preferred;https://www.ipadebusinessschool.com;19.46419527;-99.18625744;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Maastricht University, Faculty of Law;Netherlands;Europe;Partner University;Master;September - December;N/A;THEMIS exchange only in Autumn;https://www.maastrichtuniversity.nl/faculty-law;50.84684719;5.688540631;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Erasmus University, Rotterdam School of Management;Netherlands;Europe;Partner University/CEMS;Bachelor/Master;September - December, January - March, March - June;Bachelor: 4, Master: 8, CEMS: 1 autumn semester / 2 spring semester;;https://www.rsm.nl;51.91644983;4.524104758;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Maastricht University, Faculty of Economics and Business Administration;Netherlands;Europe;Partner University;Bachelor/Master;August - December, February - June;Bachelor: 2, Master: 4;;https://www.maastrichtuniversity.nl/about-um/faculties/school-business-and-economics;50.84495816;5.684991058;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Maastricht University, Faculty of Arts and Social Sciences;Netherlands;Europe;Partner University;Bachelor;August - January, January - June;Bachelor: 4;"Only courses in the faculty of Arts and Social Sciences; More options in autumn";https://www.maastrichtuniversity.nl/about-um/faculties/faculty-arts-and-social-sciences;50.85031226;5.686279304;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Otago;New Zealand;Oceania;Partner University;Bachelor/Master;July - November, February - June;Bachelor: 1, Master: 1;Minimum grade average of 5 (HSG grade) required;https://www.otago.ac.nz;-45.6116474;171.5471376;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Victoria University of Wellington;New Zealand;Oceania;Partner University;Bachelor/Master;July - November, February - June;Bachelor: 1, Master: no;Only TOEFL or IELTS accepted;https://www.wgtn.ac.nz;-41.2898576;174.7685655;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
BI Norwegian Business School;Norway;Europe;Partner University;Bachelor/Master;August - December, January - June;Bachelor: 3, Master: 7;;https://www.bi.edu;59.94860877;10.76881852;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Agder;Norway;Europe;Partner University;Bachelor/Master;August - December, January - June;Total: 6;;https://www.uia.no/en;58.37109688;8.596109422;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
NHH, Norwegian School of Economics;Norway;Europe;Partner University/CEMS;Bachelor/Master;August - December, January - June;Bachelor: 2, Master: 6, CEMS: 1 per term;Norwegian nationals may not apply;https://www.nhh.no/en/;60.42300112;5.302719834;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad ESAN;Peru;South America;Partner University;Bachelor/Master;August - December, March - July;Bachelor: 1, Master: 1;"Spanish B1 at HSG application, B2 at host application; Master: 1 year of professional experience";https://www.ue.edu.pe;-12.09413713;-76.89610891;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad del Pacifico;Peru;South America;Partner University;Bachelor;August - December, March - July;Bachelor: 3;Spanish B1 at HSG application, B2 at host application;https://www.up.edu.pe;-12.08371516;-77.04877737;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Asian Institute of Management;Philippines;Asia;Partner University;Master;September - December;Master: 3;"Autumn semester only; 2 years academic internship or 1 year work experience; Second year of HSG Master degree";https://aim.edu;14.72773753;121.6623876;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
SGH Warsaw School of Economics;Poland;Europe;Partner University/CEMS;Bachelor/Master;September - January, February - June;Bachelor: 1, Master: 1, CEMS: 1 per term;;https://www.sgh.waw.pl/en;52.20906886;21.00938063;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidade Nova de Lisboa, Faculty of Law;Portugal;Europe;Partner University;Master;September - December, January - May;N/A;Autumn semester only;https://novalaw.unl.pt/en/;38.73343926;-9.160644587;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidade Catolica Portuguesa, School of Business & Economics;Portugal;Europe;Partner University;Bachelor/Master;September - January, February - June;Bachelor: 2, Master: 2;;https://www.clsbe.lisboa.ucp.pt/catolica-lisbon-school-business-economics;38.74897322;-9.16450085;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidade Nova de Lisboa, Nova School of Business and Economics;Portugal;Europe;Partner University/CEMS;Bachelor/Master;September - December, January - May;Bachelor: 5, Master: 10, CEMS: 1 per term;;https://www.novasbe.unl.pt/en/;38.6845099;-9.345003173;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
St. Petersburg State University, Graduate School of Management;Russia;Europe;Partner University/CEMS;Bachelor/Master;September - January, January - June;Bachelor: no, Master: no, CEMS: No;"Partnership suspended; Language requirement: Bachelor - Russian recommended, Master - courses in English";https://gsom.spbu.ru/en/;59.94529092;30.29068097;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Lomonosov Moscow State University, Faculty of Economics;Russia;Europe;Partner University;Bachelor/Master;September - January, February - June;Bachelor: no, Master: no;"Partnership suspended; Russian B2 for Bachelor";https://www.econ.msu.ru/students/foreign/;55.69630202;37.53749836;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
